                                                 28 Nov 2023 15:59:33
Civil Air Patrol Use Only
FigureOfMerit-revisittime


                         Coverage Properties                         
---------------------------------------------------------------------
LatLon Region Coverage                                               
Grid Altitude: 0.0000 (km)                                           
Ground Altitude set from grid altitude reference (On ellipsoid)      
Resolution: 1.0000 (deg)                                             
Number of Points: 14472                                              
Assets required for a valid access: At Least 1                       
Assigned Assets:                                                     
    Satellite/mysat/Sensor/mysen:    Active                          
Access Interval: 28 Nov 2023 04:00:00.000 to 29 Nov 2023 04:00:00.000
Regional Acceleration: Automatic                                     
Light time delay: Ignored                                            
Maximum Sampling Time Step: 360.000 secs                             
Minimum Sampling Time Step: 0.010 secs                               
Time Convergence: 5.000e-03 secs                                     
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14           


                 FOM Properties                 
------------------------------------------------
Maximum Revisit Time                            
Minimum number of assets required: 1            
Gaps at ends of analysis interval are considered
Satisfaction is not enabled                     
FOM value range check is not enabled.           


Latitude (deg)    Longitude (deg)    FOM Value (sec)
--------------    ---------------    ---------------
       -29.524              0.556          29857.044
       -29.524              1.667          29888.506
       -29.524              2.778          35505.572
       -29.524              3.889          35498.435
       -29.524              5.000          35491.862
       -29.524              6.111          35485.870
       -29.524              7.222          35480.485
       -29.524              8.333          35475.746
       -29.524              9.444          35471.685
       -29.524             10.556          35468.343
       -29.524             11.667          35465.773
       -29.524             12.778          35464.031
       -29.524             13.889          35463.183
       -29.524             15.000          35463.328
       -29.524             16.111          35464.576
       -29.524             17.222          35467.058
       -29.524             18.333          35470.958
       -29.524             19.444          35476.523
       -29.524             20.556          35484.102
       -29.524             21.667          35494.212
       -29.524             22.778          35507.674
       -29.524             23.889          35526.007
       -29.524             25.000          35552.687
       -29.524             26.111          35601.935
       -29.524             27.222          41177.826
       -29.524             28.333          41171.053
       -29.524             29.444          41164.857
       -29.524             30.556          41159.261
       -29.524             31.667          41154.296
       -29.524             32.778          41149.993
       -29.524             33.889          41146.396
       -29.524             35.000          41143.550
       -29.524             36.111          41141.513
       -29.524             37.222          41140.350
       -29.524             38.333          41140.138
       -29.524             39.444          41140.986
       -29.524             40.556          41143.024
       -29.524             41.667          41146.405
       -29.524             42.778          41151.365
       -29.524             43.889          41158.200
       -29.524             45.000          41167.351
       -29.524             46.111          41179.524
       -29.524             47.222          41195.928
       -29.524             48.333          41219.060
       -29.524             49.444          41256.587
       -29.524             50.556          46857.285
       -29.524             51.667          46850.320
       -29.524             52.778          46843.920
       -29.524             53.889          46838.109
       -29.524             55.000          46832.921
       -29.524             56.111          46828.388
